nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
12,7.325604282957404,122,122,0.017887932952417404,0.0711474417196488,0.07508325764456554
17,6.965305692062248,122,122,0.018728660123600967,0.0675143808658795,0.0768997880714502
22,6.743448545621076,122,122,0.01865109559644602,0.0660006055101423,0.09324856191341205
27,6.552749831684181,122,122,-0.00928467902360009,0.02482591583409022,0.049349076597033
32,6.410030858803726,122,122,0.00023948177572134512,0.02482591583409022,0.04692703602785347
37,6.275805743573545,122,122,0.008283804549660627,0.021495610051468363,0.030578262185891613
2,1.0663076250443015,2,162,0.6903156322672006,0.6257947320617621,0.048138056312443236
7,0.4889952191121034,2,162,0.4239277142803418,0.3902512867090524,0.04874356645473812
12,0.3307600328649759,2,162,0.3767297726204707,0.38268240993036634,0.06690887072358462
17,0.22456192052841722,2,162,0.4210072744574031,0.24916742355434454,0.174084165909779
22,0.2029476671188976,2,162,0.4571111411626587,0.20224038752649107,0.1640932485619134
27,0.18215930695822782,2,162,0.45600109566262637,0.20224038752649107,0.15834090221011202
32,0.1675655697996165,2,162,0.4498951703267864,0.20224038752649107,0.1522858007871632
37,0.14769843326902754,2,162,0.42204640950813993,0.18982742960944596,0.13169845594913715
2,6.003201290000875,42,162,0.12620690471195026,0.37329700272479566,0.15864365728125945
7,5.06537997738457,42,162,0.053254183919969264,0.29851650015137754,0.11625794732061762
12,4.818235672138018,42,162,0.04503276552574888,0.2524977293369664,0.1168634574629125
17,4.547114031322854,42,162,0.05198165711737036,0.2509839539812292,0.12503784438389343
22,4.2919792518981135,42,162,0.05538895170073193,0.19830457160157433,0.11928549803209204
27,4.070383839582001,42,162,0.059685593472103296,0.19769906145927943,0.11837723281864972
32,3.8736588226816586,42,162,0.07761579325676295,0.19769906145927943,0.08991825613079019
37,3.63831793182274,42,162,0.0753239579345633,0.1344232515894641,0.07871631849833485
2,8.401219027482972,82,162,0.16645559739068316,0.641537995761429,0.04783530124129579
7,7.243482670647664,82,162,0.02851522915820364,0.5243717832273691,0.07508325764456554
12,6.872237306952832,82,162,-0.009216511227161047,0.23857099606418408,0.07871631849833485
17,6.4491830324488495,82,162,-1.4569464939861094e-05,0.23857099606418408,0.07720254314259764
22,6.240530591410665,82,162,0.0032730248903425256,0.08537693006357856,0.08870723584620042
27,6.119134399577031,82,162,0.007036368789057033,0.08295488949439903,0.07932182864062973
32,5.822830194802538,82,162,0.020249920739732155,0.08113835906751438,0.07568876778686043
37,5.711263945954157,82,162,0.022868794589146802,0.08083560399636694,0.07356948228882834
2,10.588574816366597,122,162,0.007940802574681946,0.5479866787768695,0.07296397214653345
7,8.848263047398467,122,162,-0.008793348245557976,0.46139872842870117,0.06478958522555253
12,8.40312467819824,122,162,-0.015810612446922306,0.42779291553133514,0.08325764456554648
17,8.069043140891939,122,162,-0.012640174585199103,0.4268846503178928,0.07387223735997578
22,7.7966664509757075,122,162,-0.017639738219032464,0.4247653648198607,0.07629427792915532
27,7.479419214259605,122,162,-0.010288417913364966,0.40084771419921283,0.06509234029669997
32,7.28225358241174,122,162,-0.016926757624675805,0.3905540417801998,0.06145927944293067
37,7.155654278664277,122,162,-0.0065026972530145746,0.3042688465031789,0.06509234029669997
2,11.257935405012232,162,162,-0.0021670167945891223,0.5446563729942476,0.08144111413866183
7,9.203545519180242,162,162,-0.001892187423575149,0.3405994550408719,0.16560702391765061
12,8.821230569125476,162,162,-0.0032108059332690555,0.33999394489857704,0.15622161671207993
17,8.456417262074668,162,162,0.0006680511277421453,0.2873145625189222,0.05631244323342416
22,8.276360852159637,162,162,-0.001083603819725872,0.2873145625189222,0.06872540115046927
27,8.062877161181648,162,162,0.001694605735939729,0.26733272782319106,0.049954586739327886
32,7.92694267710313,162,162,0.004254720590976282,0.24190130184680594,0.04753254617014835
37,7.67230919209342,162,162,0.001276907089348347,0.24159854677565848,0.04238570996064184
