nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
18,0.4968633359460548,2,7,0.3550954221791218,0.06357856494096276,0.07659703300030275
19,0.49197710332605205,2,7,0.35337551897909475,0.06357856494096276,0.07629427792915532
2,2.8499148294326297,7,7,0.10022756708406291,0.37783832879200724,0.14986376021798364
3,2.7634299055703093,7,7,0.21658382785870017,0.22706630336058128,0.08810172570390554
4,2.493245601958953,7,7,0.2928399517700344,0.15410233121404784,0.11020284589766878
5,2.47590137938077,7,7,0.37684222154871644,0.15410233121404784,0.10899182561307902
6,2.4575142531661056,7,7,0.40753808261154123,0.1537995761429004,0.10202845897668786
7,2.129108660365782,7,7,0.43011624451685354,0.060551014229488345,0.060551014229488345
8,2.0546436320123385,7,7,0.40488777184340907,0.060551014229488345,0.10172570390554042
9,1.985508938858558,7,7,0.37618338776963695,0.060551014229488345,0.11716621253405994
10,1.9808648890943974,7,7,0.37159872025019075,0.060551014229488345,0.11141386618225856
11,1.9656179127292368,7,7,0.3635660340992966,0.056009688162276715,0.10414774447471996
12,1.8992085366838014,7,7,0.3416952047599502,0.056009688162276715,0.10384498940357251
13,1.8751703671570152,7,7,0.3282754123782676,0.056009688162276715,0.058734483802603696
14,1.8235005135773528,7,7,0.30995707076248885,0.05570693309112928,0.056009688162276715
15,1.8187245049521987,7,7,0.3077643189164458,0.05267938237965486,0.053587647593097185
16,1.7961790029499949,7,7,0.308551529143803,0.0420829548894944,0.05116560702391765
17,1.7631610877311281,7,7,0.29579318980885416,0.0420829548894944,0.04874356645473812
18,1.675524922679504,7,7,0.2968071287826121,0.0420829548894944,0.049349076597033
19,1.6745125983841098,7,7,0.29103153194385234,0.0420829548894944,0.049349076597033
2,1.4670563152271656,2,12,0.4363171554469169,0.5897668785952165,0.053587647593097185
3,1.1258583507894424,2,12,0.4370830525354153,0.3390856796851347,0.0950650923402967
4,1.047224562532922,2,12,0.3722576703432472,0.1407811080835604,0.07962458371177718
5,0.9113209019344131,2,12,0.32961283153335424,0.14047835301241296,0.1568271268543748
6,0.8937093353842744,2,12,0.3285100664235219,0.14047835301241296,0.15803814713896458
7,0.6860245599609334,2,12,0.36503234267716633,0.14017559794126552,0.15470784135634272
8,0.6766413242684608,2,12,0.3706321750434432,0.14017559794126552,0.17892824704813806
9,0.6739383401656716,2,12,0.3607845864714426,0.11262488646684832,0.15622161671207993
10,0.6200193027587267,2,12,0.33848964340734383,0.11262488646684832,0.15561610656978506
11,0.5882798574130897,2,12,0.3456178652663579,0.10475325461701483,0.1516802906448683
12,0.5364562209499693,2,12,0.3468512726528823,0.10475325461701483,0.15289131092945807
13,0.5234658794622239,2,12,0.32205226500813194,0.10475325461701483,0.09990917347865577
14,0.5181234813367307,2,12,0.33793282390605045,0.07629427792915532,0.07962458371177718
15,0.5157696339757337,2,12,0.341400854744071,0.07629427792915532,0.06721162579473206
16,0.5040985259346517,2,12,0.34321601736997,0.07599152285800786,0.0653950953678474
17,0.48041857080122796,2,12,0.34302177972903247,0.0681198910081744,0.06448683015440508
18,0.4414531940746254,2,12,0.34112621417900685,0.06781713593702694,0.056009688162276715
19,0.43804171783361845,2,12,0.33319444473974724,0.06781713593702694,0.056009688162276715
2,2.9376827348342753,7,12,0.10549635444431309,0.5979412655161974,0.07235846200423857
3,2.739388020031232,7,12,0.14674364631811318,0.4296094459582198,0.07538601271571299
4,2.5545438420727207,7,12,0.20399344202877207,0.2936724190130185,0.08174386920980926
5,2.4969091942096835,7,12,0.20556640520537908,0.27550711474417194,0.06842264607932183
6,2.4670886352258887,7,12,0.24295340545481614,0.27550711474417194,0.1344232515894641
7,2.3933851953133494,7,12,0.30959762923096834,0.18407508325764457,0.15864365728125945
8,2.185281689782258,7,12,0.3426368453554743,0.14774447471995156,0.17014834998486225
9,2.147245172056975,7,12,0.3171532887989774,0.13775355737208597,0.11232213139570088
10,2.045291338310985,7,12,0.2956178388415638,0.13775355737208597,0.11292764153799577
11,1.9595239002430718,7,12,0.2748892700268411,0.13775355737208597,0.07538601271571299
12,1.9324963878033474,7,12,0.25413438226592155,0.13745080230093853,0.07508325764456554
13,1.889744592007942,7,12,0.23990444646300327,0.13745080230093853,0.05267938237965486
14,1.8642608175586868,7,12,0.2226512086576738,0.13745080230093853,0.05267938237965486
15,1.8366769823629738,7,12,0.18535278819827078,0.11867998788979715,0.04965183166818044
16,1.7703969063753593,7,12,0.1826882567544465,0.11867998788979715,0.049349076597033
