tree1,tree2,dist
1654,2828,0.00013122071394308307
722,2497,0.00013125049866058447
999,1505,0.00013210421610545392
1025,2862,0.0001346102892724535
56,904,0.00013527913551193878
2132,2732,0.00013719099755083765
163,335,0.00013853872820496303
902,1900,0.00013978416348284228
1112,3278,0.00014036083071503405
1705,1822,0.000140430780825717
1619,2842,0.00014058251465856597
2187,3220,0.00014103222035288798
639,1173,0.0001416785903416793
452,3287,0.0001418490571006726
235,2152,0.0001426932227651884
524,2635,0.0001437560332313544
426,804,0.00014475288112079064
900,2744,0.00014636376324947062
99,288,0.00015128185968051044
1262,2763,0.000151381448090869
3347,1015,0.00015278664096309708
2476,2792,0.00015332450100223952
173,795,0.00015369204261542896
709,1234,0.0001542866992145387
1167,2570,0.00015536860174922805
855,889,0.00015730501419445111
537,963,0.00015883381771084233
673,2771,0.00015944953657425973
663,2980,0.00015966446617393486
298,437,0.0001598258900028203
372,1722,0.00015985948654455816
2436,2689,0.00016295136248823186
22,2543,0.00016327562750775675
1091,2597,0.00016413936650219382
1504,2274,0.00016440672077559434
389,3146,0.00016604318895361084
261,2693,0.00016608488083216626
97,677,0.00016630522575068057
3328,3284,0.00016670334801408698
120,3330,0.00016673974258129762
2945,3141,0.00016684079221340568
1179,2024,0.00017148181153529493
972,991,0.00017169392673649364
813,1334,0.0001721388792312109
501,2563,0.00017219564677683347
1122,3338,0.00017410934109668257
1828,3262,0.0001767467433213179
2214,3263,0.00017789103958522345
557,3162,0.0001795759777263456
1507,3155,0.00017967425898728594
445,2968,0.0001802937485114349
978,3239,0.00018068122608266499
186,504,0.00018105695815146504
577,3096,0.0001815633247035861
1841,2791,0.00018162363340375534
2145,3085,0.00018253149533921723
480,2387,0.00018277866743604196
516,766,0.0001830797018408884
1116,2942,0.0001843053878030753
1320,1792,0.00018448898840208589
1864,3339,0.00018487650591567963
840,1371,0.00018600368820643337
1301,2624,0.00018618061441517952
459,3106,0.00018689323831990248
176,3135,0.00018726503916373198
3318,2647,0.0001873460518003467
3012,3291,0.00018748051808107485
1142,1908,0.00018777807267954076
1800,3182,0.00018821367119232872
1238,1280,0.0001896340712397946
598,1537,0.00018971333169685856
1917,2076,0.00019025858619250123
1095,2452,0.00019170445704343175
249,1747,0.00019413364887020668
993,2342,0.00019652730488121245
2108,2524,0.00019815212853448345
1200,2855,0.00019819430713502884
1115,1532,0.00019860632758666834
25,3247,0.00020005051510583842
2592,3251,0.0002001653905322337
643,2025,0.00020052291615676142
1089,3052,0.00020074504521877534
3374,96,0.00020101015820392192
815,2327,0.00020333386341800028
2144,2170,0.0002038900302862301
175,3242,0.00020401897079859801
352,3336,0.00020406698660542857
251,1400,0.00020409913553496098
2466,3198,0.0002045752996703773
812,3320,0.00020498917721926274
411,1660,0.00020698028824180786
20,3022,0.00020806841875580656
2344,3031,0.00020933262847635387
699,2532,0.0002099969232876378
1458,1584,0.00021160329269192917
1915,1929,0.0002121561456353005
1250,3100,0.00021305080243322685
819,2756,0.0002139349846704726
1275,2825,0.0002143894291551235
686,3245,0.00021457816051474211
321,2569,0.00021507714584221432
463,2224,0.00021625420004349472
1475,2354,0.00021740470394129505
846,2191,0.00021874642527314192
1576,2319,0.00021889221490831515
357,1384,0.0002207268792182894
3332,2033,0.00022105709650769093
2077,3178,0.00022136372776594346
864,3030,0.00022285385168287902
821,1231,0.00022467103841522507
512,1416,0.0002266882301796124
1338,2002,0.00022675092092130922
1501,2047,0.00022768223293725617
84,1236,0.00022886612254044772
71,2158,0.00023256806055251423
1273,1354,0.00023321206866153826
1474,3055,0.00023410427736610118
918,2698,0.00023443843038539226
3400,2529,0.00023552031125518604
1551,2513,0.00023576342940431066
220,534,0.0002358809880403552
413,1067,0.0002375581331337806
1325,3286,0.00023811076151005264
1412,3179,0.00023854708903546865
3353,2798,0.00023856329560828157
829,2815,0.00023909487816231936
3314,1255,0.00024037602826857893
2531,2705,0.00024251219157716067
345,2540,0.0002425225951334046
280,1773,0.00024377907144612979
3480,2890,0.0002446775598783941
499,869,0.0002452174051024176
140,2866,0.000245393410436532
1567,1646,0.0002489447202891218
339,1674,0.0002500520518532402
1843,2659,0.00025035661536750714
2668,2731,0.00025059004419278504
3334,3316,0.0002516364808738125
2088,2859,0.00025218720582311643
876,1775,0.00025356350335166596
2141,3063,0.0002537610493835163
908,2044,0.00025387394381842093
714,1598,0.00025603579338703613
1850,2632,0.00025614168293536764
15,783,0.0002594218704535028
857,2110,0.0002606236758741949
3383,2520,0.00026086425420105384
332,1553,0.00026184988162273985
2007,2800,0.0002633316436041963
1350,2892,0.0002639309386583827
59,596,0.00026413991871192255
1988,3125,0.0002647301334254941
854,1011,0.0002684794354682954
921,2918,0.0002685237199326635
